CBSA09,CBSA_T,TRACTS,Pop2000,Pop2010,NewAvePPCHG
1.0,"""NaN, KY""",123,409528,412805,-0.45
1.0,"""NaN, MT""",123,409528,412805,-0.45
1.0,"""NaN, MI""",123,409528,412805,-0.45
1.0,"""NaN, WV""",123,409528,412805,-0.45
1.0,"""NaN, GA""",123,409528,412805,-0.45
1.0,"""NaN, MN""",123,409528,412805,-0.45
1.0,"""NaN, KS""",123,409528,412805,-0.45
1.0,"""NaN, VA""",123,409528,412805,-0.45
1.0,"""NaN, WA""",123,409528,412805,-0.45
1.0,"""NaN, ND""",123,409528,412805,-0.45
1.0,"""NaN, OH""",123,409528,412805,-0.45
1.0,"""NaN, SC""",123,409528,412805,-0.45
1.0,"""NaN, SD""",123,409528,412805,-0.45
1.0,"""NaN, AZ""",123,409528,412805,-0.45
1.0,"""NaN, UT""",123,409528,412805,-0.45
1.0,"""NaN, VT""",123,409528,412805,-0.45
1.0,"""NaN, WI""",123,409528,412805,-0.45
1.0,"""NaN, OK""",123,409528,412805,-0.45
1.0,"""NaN, OR""",123,409528,412805,-0.45
1.0,"""NaN, AR""",123,409528,412805,-0.45
3.0,"""NaN, CO""",109,349927,349053,-1.16
3.0,"""NaN, CA""",109,349927,349053,-1.16
3.0,"""NaN, ME""",109,349927,349053,-1.16
3.0,"""NaN, AR""",109,349927,349053,-1.16
3.0,"""NaN, WY""",109,349927,349053,-1.16
3.0,"""NaN, NY""",109,349927,349053,-1.16
3.0,"""NaN, WI""",109,349927,349053,-1.16
3.0,"""NaN, NE""",109,349927,349053,-1.16
3.0,"""NaN, KY""",109,349927,349053,-1.16
3.0,"""NaN, ID""",109,349927,349053,-1.16
3.0,"""NaN, ND""",109,349927,349053,-1.16
3.0,"""NaN, OK""",109,349927,349053,-1.16
3.0,"""NaN, NM""",109,349927,349053,-1.16
3.0,"""NaN, LA""",109,349927,349053,-1.16
3.0,"""NaN, NH""",109,349927,349053,-1.16
3.0,"""NaN, SD""",109,349927,349053,-1.16
3.0,"""NaN, MT""",109,349927,349053,-1.16
3.0,"""NaN, MI""",109,349927,349053,-1.16
3.0,"""NaN, KS""",109,349927,349053,-1.16
5.0,"""NaN, WI""",81,254968,260999,1.4
5.0,"""NaN, MO""",81,254968,260999,1.4
5.0,"""NaN, ND""",81,254968,260999,1.4
5.0,"""NaN, SD""",81,254968,260999,1.4
5.0,"""NaN, CA""",81,254968,260999,1.4
5.0,"""NaN, NE""",81,254968,260999,1.4
5.0,"""NaN, TN""",81,254968,260999,1.4
5.0,"""NaN, MN""",81,254968,260999,1.4
5.0,"""NaN, GA""",81,254968,260999,1.4
5.0,"""NaN, NC""",81,254968,260999,1.4
5.0,"""NaN, HI""",81,254968,260999,1.4
5.0,"""NaN, VA""",81,254968,260999,1.4
5.0,"""NaN, VT""",81,254968,260999,1.4
5.0,"""NaN, SC""",81,254968,260999,1.4
5.0,"""NaN, MT""",81,254968,260999,1.4
5.0,"""NaN, OK""",81,254968,260999,1.4
7.0,"""NaN, WI""",64,211213,217932,2.87
7.0,"""NaN, KS""",64,211213,217932,2.87
7.0,"""NaN, NM""",64,211213,217932,2.87
7.0,"""NaN, ID""",64,211213,217932,2.87
7.0,"""NaN, OK""",64,211213,217932,2.87
7.0,"""NaN, MA""",64,211213,217932,2.87
7.0,"""NaN, SD""",64,211213,217932,2.87
7.0,"""NaN, MS""",64,211213,217932,2.87
7.0,"""NaN, WY""",64,211213,217932,2.87
7.0,"""NaN, WV""",64,211213,217932,2.87
7.0,"""NaN, MT""",64,211213,217932,2.87
7.0,"""NaN, TN""",64,211213,217932,2.87
7.0,"""NaN, FL""",64,211213,217932,2.87
7.0,"""NaN, CO""",64,211213,217932,2.87
7.0,"""NaN, ME""",64,211213,217932,2.87
9.0,"""NaN, WY""",100,360427,371552,2.19
9.0,"""NaN, NE""",100,360427,371552,2.19
9.0,"""NaN, NV""",100,360427,371552,2.19
9.0,"""NaN, MS""",100,360427,371552,2.19
9.0,"""NaN, ID""",100,360427,371552,2.19
9.0,"""NaN, NC""",100,360427,371552,2.19
9.0,"""NaN, SC""",100,360427,371552,2.19
9.0,"""NaN, PA""",100,360427,371552,2.19
9.0,"""NaN, UT""",100,360427,371552,2.19
9.0,"""NaN, IN""",100,360427,371552,2.19
9.0,"""NaN, CO""",100,360427,371552,2.19
9.0,"""NaN, MI""",100,360427,371552,2.19
9.0,"""NaN, LA""",100,360427,371552,2.19
9.0,"""NaN, ME""",100,360427,371552,2.19
9.0,"""NaN, ND""",100,360427,371552,2.19
9.0,"""NaN, MO""",100,360427,371552,2.19
9.0,"""NaN, IL""",100,360427,371552,2.19
9.0,"""NaN, CA""",100,360427,371552,2.19
9.0,"""NaN, SD""",100,360427,371552,2.19
11.0,"""NaN, NM""",74,229602,235413,1.3
11.0,"""NaN, NE""",74,229602,235413,1.3
11.0,"""NaN, MO""",74,229602,235413,1.3
11.0,"""NaN, ND""",74,229602,235413,1.3
11.0,"""NaN, MT""",74,229602,235413,1.3
11.0,"""NaN, CA""",74,229602,235413,1.3
11.0,"""NaN, GA""",74,229602,235413,1.3
11.0,"""NaN, OK""",74,229602,235413,1.3
11.0,"""NaN, CO""",74,229602,235413,1.3
11.0,"""NaN, MN""",74,229602,235413,1.3
11.0,"""NaN, MD""",74,229602,235413,1.3
11.0,"""NaN, SC""",74,229602,235413,1.3
11.0,"""NaN, NC""",74,229602,235413,1.3
11.0,"""NaN, WY""",74,229602,235413,1.3
11.0,"""NaN, AR""",74,229602,235413,1.3
11.0,"""NaN, WI""",74,229602,235413,1.3
11.0,"""NaN, KS""",74,229602,235413,1.3
11.0,"""NaN, MI""",74,229602,235413,1.3
11.0,"""NaN, AL""",74,229602,235413,1.3
12.0,"""NaN, AZ""",9,19670,20489,12.87
13.0,"""NaN, AK""",53,178648,183821,1.02
13.0,"""NaN, NE""",53,178648,183821,1.02
13.0,"""NaN, WI""",53,178648,183821,1.02
13.0,"""NaN, LA""",53,178648,183821,1.02
13.0,"""NaN, MI""",53,178648,183821,1.02
13.0,"""NaN, FL""",53,178648,183821,1.02
13.0,"""NaN, WA""",53,178648,183821,1.02
13.0,"""NaN, MS""",53,178648,183821,1.02
13.0,"""NaN, ND""",53,178648,183821,1.02
13.0,"""NaN, NV""",53,178648,183821,1.02
13.0,"""NaN, KS""",53,178648,183821,1.02
13.0,"""NaN, UT""",53,178648,183821,1.02
13.0,"""NaN, ID""",53,178648,183821,1.02
13.0,"""NaN, AL""",53,178648,183821,1.02
13.0,"""NaN, WV""",53,178648,183821,1.02
15.0,"""NaN, MT""",64,225114,232679,1.09
15.0,"""NaN, UT""",64,225114,232679,1.09
15.0,"""NaN, SD""",64,225114,232679,1.09
15.0,"""NaN, ME""",64,225114,232679,1.09
15.0,"""NaN, MO""",64,225114,232679,1.09
15.0,"""NaN, OK""",64,225114,232679,1.09
15.0,"""NaN, VT""",64,225114,232679,1.09
15.0,"""NaN, WY""",64,225114,232679,1.09
15.0,"""NaN, NC""",64,225114,232679,1.09
15.0,"""NaN, CO""",64,225114,232679,1.09
15.0,"""NaN, IL""",64,225114,232679,1.09
15.0,"""NaN, AR""",64,225114,232679,1.09
15.0,"""NaN, NE""",64,225114,232679,1.09
15.0,"""NaN, NV""",64,225114,232679,1.09
16.0,"""NaN, AK""",2,5464,5561,1.23
17.0,"""NaN, MS""",82,296703,301550,0.56
17.0,"""NaN, ID""",82,296703,301550,0.56
17.0,"""NaN, SD""",82,296703,301550,0.56
17.0,"""NaN, NV""",82,296703,301550,0.56
17.0,"""NaN, ME""",82,296703,301550,0.56
17.0,"""NaN, WY""",82,296703,301550,0.56
17.0,"""NaN, NE""",82,296703,301550,0.56
17.0,"""NaN, AR""",82,296703,301550,0.56
17.0,"""NaN, TX""",82,296703,301550,0.56
17.0,"""NaN, IL""",82,296703,301550,0.56
17.0,"""NaN, CO""",82,296703,301550,0.56
17.0,"""NaN, NY""",82,296703,301550,0.56
17.0,"""NaN, VA""",82,296703,301550,0.56
17.0,"""NaN, TN""",82,296703,301550,0.56
17.0,"""NaN, UT""",82,296703,301550,0.56
17.0,"""NaN, MT""",82,296703,301550,0.56
17.0,"""NaN, NC""",82,296703,301550,0.56
19.0,"""NaN, WI""",59,188041,196428,4.0
19.0,"""NaN, MA""",59,188041,196428,4.0
19.0,"""NaN, KS""",59,188041,196428,4.0
19.0,"""NaN, VT""",59,188041,196428,4.0
19.0,"""NaN, GA""",59,188041,196428,4.0
19.0,"""NaN, UT""",59,188041,196428,4.0
19.0,"""NaN, MS""",59,188041,196428,4.0
19.0,"""NaN, SD""",59,188041,196428,4.0
19.0,"""NaN, MT""",59,188041,196428,4.0
19.0,"""NaN, ND""",59,188041,196428,4.0
19.0,"""NaN, WY""",59,188041,196428,4.0
19.0,"""NaN, AL""",59,188041,196428,4.0
19.0,"""NaN, WA""",59,188041,196428,4.0
19.0,"""NaN, NM""",59,188041,196428,4.0
21.0,"""NaN, AR""",54,170743,167741,-3.18
21.0,"""NaN, VA""",54,170743,167741,-3.18
21.0,"""NaN, WV""",54,170743,167741,-3.18
21.0,"""NaN, ND""",54,170743,167741,-3.18
21.0,"""NaN, CO""",54,170743,167741,-3.18
21.0,"""NaN, KS""",54,170743,167741,-3.18
21.0,"""NaN, ME""",54,170743,167741,-3.18
21.0,"""NaN, ID""",54,170743,167741,-3.18
21.0,"""NaN, NE""",54,170743,167741,-3.18
21.0,"""NaN, SD""",54,170743,167741,-3.18
21.0,"""NaN, MS""",54,170743,167741,-3.18
21.0,"""NaN, NM""",54,170743,167741,-3.18
21.0,"""NaN, CA""",54,170743,167741,-3.18
21.0,"""NaN, MT""",54,170743,167741,-3.18
21.0,"""NaN, LA""",54,170743,167741,-3.18
21.0,"""NaN, NV""",54,170743,167741,-3.18
21.0,"""NaN, OR""",54,170743,167741,-3.18
23.0,"""NaN, MD""",74,251064,249974,-1.15
23.0,"""NaN, WA""",74,251064,249974,-1.15
23.0,"""NaN, PA""",74,251064,249974,-1.15
23.0,"""NaN, ND""",74,251064,249974,-1.15
23.0,"""NaN, CO""",74,251064,249974,-1.15
23.0,"""NaN, IL""",74,251064,249974,-1.15
23.0,"""NaN, AL""",74,251064,249974,-1.15
23.0,"""NaN, MT""",74,251064,249974,-1.15
23.0,"""NaN, OK""",74,251064,249974,-1.15
23.0,"""NaN, WV""",74,251064,249974,-1.15
23.0,"""NaN, KS""",74,251064,249974,-1.15
23.0,"""NaN, WI""",74,251064,249974,-1.15
23.0,"""NaN, GA""",74,251064,249974,-1.15
23.0,"""NaN, SD""",74,251064,249974,-1.15
23.0,"""NaN, TX""",74,251064,249974,-1.15
23.0,"""NaN, WY""",74,251064,249974,-1.15
23.0,"""NaN, MN""",74,251064,249974,-1.15
23.0,"""NaN, ID""",74,251064,249974,-1.15
23.0,"""NaN, NE""",74,251064,249974,-1.15
23.0,"""NaN, AR""",74,251064,249974,-1.15
23.0,"""NaN, OR""",74,251064,249974,-1.15
23.0,"""NaN, NM""",74,251064,249974,-1.15
25.0,"""NaN, VT""",122,395754,397192,0.28
25.0,"""NaN, UT""",122,395754,397192,0.28
25.0,"""NaN, TN""",122,395754,397192,0.28
25.0,"""NaN, OK""",122,395754,397192,0.28
25.0,"""NaN, KS""",122,395754,397192,0.28
25.0,"""NaN, IN""",122,395754,397192,0.28
25.0,"""NaN, NY""",122,395754,397192,0.28
25.0,"""NaN, WV""",122,395754,397192,0.28
25.0,"""NaN, VA""",122,395754,397192,0.28
25.0,"""NaN, LA""",122,395754,397192,0.28
25.0,"""NaN, KY""",122,395754,397192,0.28
25.0,"""NaN, ID""",122,395754,397192,0.28
25.0,"""NaN, ME""",122,395754,397192,0.28
25.0,"""NaN, AL""",122,395754,397192,0.28
25.0,"""NaN, SC""",122,395754,397192,0.28
25.0,"""NaN, IL""",122,395754,397192,0.28
25.0,"""NaN, SD""",122,395754,397192,0.28
25.0,"""NaN, CO""",122,395754,397192,0.28
25.0,"""NaN, OR""",122,395754,397192,0.28
25.0,"""NaN, ND""",122,395754,397192,0.28
25.0,"""NaN, MT""",122,395754,397192,0.28
27.0,"""NaN, LA""",63,232904,235071,1.28
27.0,"""NaN, ND""",63,232904,235071,1.28
27.0,"""NaN, WY""",63,232904,235071,1.28
27.0,"""NaN, AL""",63,232904,235071,1.28
27.0,"""NaN, TN""",63,232904,235071,1.28
27.0,"""NaN, NE""",63,232904,235071,1.28
27.0,"""NaN, UT""",63,232904,235071,1.28
27.0,"""NaN, SD""",63,232904,235071,1.28
27.0,"""NaN, ME""",63,232904,235071,1.28
27.0,"""NaN, KY""",63,232904,235071,1.28
27.0,"""NaN, MT""",63,232904,235071,1.28
27.0,"""NaN, CO""",63,232904,235071,1.28
27.0,"""NaN, KS""",63,232904,235071,1.28
27.0,"""NaN, VA""",63,232904,235071,1.28
27.0,"""NaN, NV""",63,232904,235071,1.28
27.0,"""NaN, SC""",63,232904,235071,1.28
29.0,"""NaN, FL""",103,316537,332347,4.02
29.0,"""NaN, MO""",103,316537,332347,4.02
29.0,"""NaN, AR""",103,316537,332347,4.02
29.0,"""NaN, VA""",103,316537,332347,4.02
29.0,"""NaN, AL""",103,316537,332347,4.02
29.0,"""NaN, SD""",103,316537,332347,4.02
29.0,"""NaN, WY""",103,316537,332347,4.02
29.0,"""NaN, MI""",103,316537,332347,4.02
29.0,"""NaN, NE""",103,316537,332347,4.02
29.0,"""NaN, OK""",103,316537,332347,4.02
29.0,"""NaN, KS""",103,316537,332347,4.02
29.0,"""NaN, ME""",103,316537,332347,4.02
29.0,"""NaN, MN""",103,316537,332347,4.02
29.0,"""NaN, CO""",103,316537,332347,4.02
29.0,"""NaN, ID""",103,316537,332347,4.02
29.0,"""NaN, ND""",103,316537,332347,4.02
29.0,"""NaN, WI""",103,316537,332347,4.02
29.0,"""NaN, MD""",103,316537,332347,4.02
31.0,"""NaN, TX""",79,262368,269487,3.1
31.0,"""NaN, KY""",79,262368,269487,3.1
31.0,"""NaN, OR""",79,262368,269487,3.1
31.0,"""NaN, NY""",79,262368,269487,3.1
31.0,"""NaN, PA""",79,262368,269487,3.1
31.0,"""NaN, MS""",79,262368,269487,3.1
31.0,"""NaN, UT""",79,262368,269487,3.1
31.0,"""NaN, ND""",79,262368,269487,3.1
31.0,"""NaN, WA""",79,262368,269487,3.1
31.0,"""NaN, MI""",79,262368,269487,3.1
31.0,"""NaN, KS""",79,262368,269487,3.1
31.0,"""NaN, WY""",79,262368,269487,3.1
31.0,"""NaN, MN""",79,262368,269487,3.1
31.0,"""NaN, WV""",79,262368,269487,3.1
31.0,"""NaN, NE""",79,262368,269487,3.1
31.0,"""NaN, SD""",79,262368,269487,3.1
33.0,"""NaN, KS""",45,142782,142134,-1.28
33.0,"""NaN, OK""",45,142782,142134,-1.28
33.0,"""NaN, ID""",45,142782,142134,-1.28
33.0,"""NaN, MN""",45,142782,142134,-1.28
33.0,"""NaN, CO""",45,142782,142134,-1.28
33.0,"""NaN, TN""",45,142782,142134,-1.28
33.0,"""NaN, TX""",45,142782,142134,-1.28
33.0,"""NaN, NV""",45,142782,142134,-1.28
33.0,"""NaN, ND""",45,142782,142134,-1.28
33.0,"""NaN, NM""",45,142782,142134,-1.28
33.0,"""NaN, SD""",45,142782,142134,-1.28
33.0,"""NaN, IL""",45,142782,142134,-1.28
33.0,"""NaN, MT""",45,142782,142134,-1.28
33.0,"""NaN, UT""",45,142782,142134,-1.28
33.0,"""NaN, KY""",45,142782,142134,-1.28
33.0,"""NaN, NC""",45,142782,142134,-1.28
33.0,"""NaN, MO""",45,142782,142134,-1.28
33.0,"""NaN, NE""",45,142782,142134,-1.28
35.0,"""NaN, WY""",58,191156,195151,1.57
35.0,"""NaN, MI""",58,191156,195151,1.57
35.0,"""NaN, MO""",58,191156,195151,1.57
35.0,"""NaN, AL""",58,191156,195151,1.57
35.0,"""NaN, WV""",58,191156,195151,1.57
35.0,"""NaN, VA""",58,191156,195151,1.57
35.0,"""NaN, MT""",58,191156,195151,1.57
35.0,"""NaN, TX""",58,191156,195151,1.57
35.0,"""NaN, ID""",58,191156,195151,1.57
35.0,"""NaN, SD""",58,191156,195151,1.57
35.0,"""NaN, OK""",58,191156,195151,1.57
35.0,"""NaN, LA""",58,191156,195151,1.57
37.0,"""NaN, AR""",41,126475,124809,-2.2
37.0,"""NaN, MS""",41,126475,124809,-2.2
37.0,"""NaN, OR""",41,126475,124809,-2.2
37.0,"""NaN, GA""",41,126475,124809,-2.2
37.0,"""NaN, FL""",41,126475,124809,-2.2
37.0,"""NaN, UT""",41,126475,124809,-2.2
37.0,"""NaN, ND""",41,126475,124809,-2.2
37.0,"""NaN, ID""",41,126475,124809,-2.2
37.0,"""NaN, NM""",41,126475,124809,-2.2
37.0,"""NaN, VA""",41,126475,124809,-2.2
37.0,"""NaN, SD""",41,126475,124809,-2.2
37.0,"""NaN, MT""",41,126475,124809,-2.2
37.0,"""NaN, NE""",41,126475,124809,-2.2
39.0,"""NaN, MT""",87,291247,297397,1.4
39.0,"""NaN, MO""",87,291247,297397,1.4
39.0,"""NaN, AR""",87,291247,297397,1.4
39.0,"""NaN, TN""",87,291247,297397,1.4
39.0,"""NaN, LA""",87,291247,297397,1.4
39.0,"""NaN, SD""",87,291247,297397,1.4
39.0,"""NaN, WA""",87,291247,297397,1.4
39.0,"""NaN, NC""",87,291247,297397,1.4
39.0,"""NaN, AL""",87,291247,297397,1.4
39.0,"""NaN, MI""",87,291247,297397,1.4
39.0,"""NaN, KY""",87,291247,297397,1.4
39.0,"""NaN, KS""",87,291247,297397,1.4
39.0,"""NaN, ND""",87,291247,297397,1.4
39.0,"""NaN, NY""",87,291247,297397,1.4
39.0,"""NaN, UT""",87,291247,297397,1.4
39.0,"""NaN, IL""",87,291247,297397,1.4
39.0,"""NaN, NE""",87,291247,297397,1.4
41.0,"""NaN, WI""",96,306434,311525,0.36
41.0,"""NaN, AR""",96,306434,311525,0.36
41.0,"""NaN, UT""",96,306434,311525,0.36
41.0,"""NaN, NE""",96,306434,311525,0.36
41.0,"""NaN, LA""",96,306434,311525,0.36
41.0,"""NaN, KY""",96,306434,311525,0.36
41.0,"""NaN, TN""",96,306434,311525,0.36
41.0,"""NaN, NC""",96,306434,311525,0.36
41.0,"""NaN, KS""",96,306434,311525,0.36
41.0,"""NaN, OK""",96,306434,311525,0.36
41.0,"""NaN, ND""",96,306434,311525,0.36
41.0,"""NaN, SD""",96,306434,311525,0.36
41.0,"""NaN, WV""",96,306434,311525,0.36
41.0,"""NaN, AL""",96,306434,311525,0.36
41.0,"""NaN, MS""",96,306434,311525,0.36
41.0,"""NaN, MO""",96,306434,311525,0.36
41.0,"""NaN, IL""",96,306434,311525,0.36
41.0,"""NaN, OR""",96,306434,311525,0.36
41.0,"""NaN, NY""",96,306434,311525,0.36
43.0,"""NaN, AR""",54,164651,170213,2.68
43.0,"""NaN, NC""",54,164651,170213,2.68
43.0,"""NaN, CA""",54,164651,170213,2.68
43.0,"""NaN, WY""",54,164651,170213,2.68
43.0,"""NaN, WA""",54,164651,170213,2.68
43.0,"""NaN, FL""",54,164651,170213,2.68
43.0,"""NaN, TX""",54,164651,170213,2.68
43.0,"""NaN, OK""",54,164651,170213,2.68
43.0,"""NaN, GA""",54,164651,170213,2.68
43.0,"""NaN, ND""",54,164651,170213,2.68
43.0,"""NaN, KY""",54,164651,170213,2.68
43.0,"""NaN, SD""",54,164651,170213,2.68
43.0,"""NaN, MN""",54,164651,170213,2.68
45.0,"""NaN, MT""",55,198784,210021,5.02
45.0,"""NaN, KY""",55,198784,210021,5.02
45.0,"""NaN, WY""",55,198784,210021,5.02
45.0,"""NaN, FL""",55,198784,210021,5.02
45.0,"""NaN, MN""",55,198784,210021,5.02
45.0,"""NaN, WV""",55,198784,210021,5.02
45.0,"""NaN, TX""",55,198784,210021,5.02
45.0,"""NaN, IL""",55,198784,210021,5.02
45.0,"""NaN, OK""",55,198784,210021,5.02
45.0,"""NaN, ND""",55,198784,210021,5.02
45.0,"""NaN, CO""",55,198784,210021,5.02
45.0,"""NaN, NE""",55,198784,210021,5.02
45.0,"""NaN, IN""",55,198784,210021,5.02
47.0,"""NaN, IL""",74,271278,275246,0.08
47.0,"""NaN, MI""",74,271278,275246,0.08
47.0,"""NaN, WA""",74,271278,275246,0.08
47.0,"""NaN, KS""",74,271278,275246,0.08
